gene_id,novel_isoform_count,gene_name
ENSMUSG00000038762,2,Abcf1
15:27594000,2,NA
12:108169000,2,NA
ENSMUSG00000028681,2,Ptch2
ENSMUSG00000029106,2,Add1
3:8994000,2,NA
17:23971000,2,NA
2:57258000,2,NA
ENSMUSG00000074129,2,Rpl13a
ENSMUSG00000028104,2,Polr3gl
ENSMUSG00000000751,2,Rpa1
ENSMUSG00000073725,2,Lmbrd1
8:91850000,2,NA
ENSMUSG00000025290,2,Rps24
ENSMUSG00000025348,2,Itga7
ENSMUSG00000044224,2,Dnajc21
3:14930000,2,NA
ENSMUSG00000028668,2,Eloa
13:12454000,2,NA
ENSMUSG00000044405,2,Adig
ENSMUSG00000028619,2,Tceanc2
6:51438000,2,NA
ENSMUSG00000025404,2,R3hdm2
ENSMUSG00000030738,2,Eif3c
ENSMUSG00000025876,2,Unc5a
ENSMUSG00000039285,2,Azi2
7:80362000,2,NA
ENSMUSG00000025791,2,Pgm1
6:50541000,2,NA
6:38582000,2,NA
13:112730000,2,NA
13:112643000,2,NA
11:60089000,2,NA
11:52013000,2,NA
ENSMUSG00000000552,2,Zfp385a
ENSMUSG00000039205,2,Ciz1
ENSMUSG00000039218,2,Srrm2
6:5216000,2,NA
ENSMUSG00000039220,2,Ppp1r10
ENSMUSG00000071054,2,Safb
ENSMUSG00000026155,2,Smap1
ENSMUSG00000039630,2,Hnrnpu
ENSMUSG00000026082,2,Rev1
9:95443000,2,NA
ENSMUSG00000030662,2,Ipo5
13:104339000,2,NA
ENSMUSG00000039361,2,Picalm
ENSMUSG00000068882,2,Ssb
6:66995000,2,NA
ENSMUSG00000030546,2,Plin1
ENSMUSG00000029125,2,Stx18
4:109309000,2,NA
15:83010000,2,NA
4:109244000,2,NA
ENSMUSG00000025409,2,Mbd6
ENSMUSG00000028582,2,Cc2d1b
9:31846000,2,NA
1:169569000,2,NA
7:140916000,2,NA
6:71365000,2,NA
ENSMUSG00000082419,2,Gm11425
13:115090000,2,NA
ENSMUSG00000029014,2,Dnajc2
ENSMUSG00000042133,2,Ppig
3:10271000,2,NA
ENSMUSG00000041028,2,Ghitm
12:80154000,2,NA
ENSMUSG00000060739,2,Nsa2
ENSMUSG00000060938,2,Rpl26
ENSMUSG00000026499,2,Acbd3
ENSMUSG00000029201,2,Ugdh
16:85656000,2,NA
16:85655000,2,NA
ENSMUSG00000029234,2,Tmem165
11:64892000,2,NA
9:108214000,2,NA
16:85590000,2,NA
12:86927000,2,NA
2:11413000,2,NA
ENSMUSG00000064080,2,Fbln2
ENSMUSG00000026553,2,Copa
ENSMUSG00000028248,2,Pnisr
7:118441000,2,NA
7:117730000,2,NA
ENSMUSG00000029617,2,Ccz1
1:36144000,2,NA
ENSMUSG00000056737,2,Capg
7:113646000,2,NA
ENSMUSG00000029632,2,Ndufa4
ENSMUSG00000053453,2,Thoc7
7:112504000,2,NA
ENSMUSG00000027642,2,Rpn2
ENSMUSG00000042328,2,Hps4
7:117718000,2,NA
1:24652000,2,NA
ENSMUSG00000057649,2,Brd9
1:24653000,2,NA
ENSMUSG00000027810,2,Eif2a
1:24654000,2,NA
ENSMUSG00000027706,2,Sec62
ENSMUSG00000029328,2,Hnrnpdl
6:86363000,2,NA
15:58654000,2,NA
ENSMUSG00000042572,2,Ube2q1
11:69674000,2,NA
16:11034000,2,NA
7:70003000,2,NA
ENSMUSG00000039852,2,Rere
ENSMUSG00000029169,2,Dhx15
1:172100000,2,NA
3:95805000,2,NA
6:87741000,2,NA
11:75490000,2,NA
9:85569000,2,NA
12:3963000,2,NA
11:75055000,2,NA
12:82043000,2,NA
ENSMUSG00000026991,2,Pkp4
ENSMUSG00000030029,2,Lrig1
6:29540000,2,NA
ENSMUSG00000061689,2,Dlgap4
3:16270000,2,NA
9:35962000,2,NA
ENSMUSG00000030216,2,Wbp11
16:90910000,2,NA
ENSMUSG00000028452,2,Vcp
7:63994000,2,NA
ENSMUSG00000030213,2,Atf7ip
15:55499000,2,NA
9:14454000,2,NA
9:15194000,2,NA
11:61135000,2,NA
ENSMUSG00000026229,2,Psmd1
ENSMUSG00000042747,2,Krtcap2
6:72585000,2,NA
9:50802000,2,NA
6:72603000,2,NA
7:75403000,2,NA
12:91522000,2,NA
ENSMUSG00000028559,2,Osbpl9
16:90025000,2,NA
ENSMUSG00000041769,2,Ppp2r2d
ENSMUSG00000052748,2,Swt1
11:94105000,2,NA
7:45123000,2,NA
ENSMUSG00000041360,2,Pum3
ENSMUSG00000029701,2,Rbm28
ENSMUSG00000059119,2,Nap1l4
ENSMUSG00000029686,2,Cul1
ENSMUSG00000027412,2,Lpin3
ENSMUSG00000029684,2,Wasl
ENSMUSG00000058799,2,Nap1l1
ENSMUSG00000058756,2,Thra
