ids	SRR33470049_nocondition_nobatch
ENSMUST00000004729_ENSMUSG00000004610	109.0
ENSMUST00000004774_ENSMUSG00000004655	228.0
ENSMUST00000004784_ENSMUSG00000004665	15.0
ENSMUST00000004786_ENSMUSG00000004667	32.0
ENSMUST00000004913_ENSMUSG00000004791	5.0
ENSMUST00000004936_ENSMUSG00000004814	6.0
ENSMUST00000004965_ENSMUSG00000004843	14.0
ENSMUST00000005015_ENSMUSG00000004895	8.0
ENSMUST00000005017_ENSMUSG00000004897	32.0
ENSMUST00000005053_ENSMUSG00000004945	36.0
ENSMUST00000005064_ENSMUSG00000004934	4.0
ENSMUST00000005066_ENSMUSG00000004936	14.0
ENSMUST00000005077_ENSMUSG00000004951	25.0
ENSMUST00000005173_ENSMUSG00000005043	7.0
ENSMUST00000005185_ENSMUSG00000005054	95.0
ENSMUST00000005188_ENSMUSG00000005057	13.0
ENSMUST00000005256_ENSMUSG00000005125	49.0
ENSMUST00000005292_ENSMUSG00000005161	19.0
ENSMUST00000005394_ENSMUSG00000005262	16.0
ENSMUST00000005431_ENSMUSG00000005299	41.0
ENSMUST00000005487_ENSMUSG00000005354	63.0
ENSMUST00000005548_ENSMUSG00000005413	24.0
ENSMUST00000005583_ENSMUSG00000005447	7.0
ENSMUST00000005606_ENSMUSG00000005469	105.0
ENSMUST00000005647_ENSMUSG00000005510	39.0
ENSMUST00000005651_ENSMUSG00000005514	15.0
ENSMUST00000005711_ENSMUSG00000033916	29.0
ENSMUST00000005714_ENSMUSG00000005575	71.0
ENSMUST00000005826_ENSMUSG00000005683	174.0
ENSMUST00000005829_ENSMUSG00000005686	12.0
ENSMUST00000005830_ENSMUSG00000005687	14.0
ENSMUST00000005923_ENSMUSG00000005779	113.0
ENSMUST00000005953_ENSMUSG00000005803	49.0
ENSMUST00000005964_ENSMUSG00000028138	45.0
ENSMUST00000006027_ENSMUSG00000005873	201.0
ENSMUST00000006035_ENSMUSG00000005881	33.0
ENSMUST00000006128_ENSMUSG00000005973	19.0
ENSMUST00000006137_ENSMUSG00000005981	40.0
ENSMUST00000006181_ENSMUSG00000006024	48.0
ENSMUST00000006217_ENSMUSG00000006058	38.0
ENSMUST00000006235_ENSMUSG00000021939	557.0
ENSMUST00000006254_ENSMUSG00000006095	11.0
ENSMUST00000006367_ENSMUSG00000006205	62.0
